,CH1,CH2
Second,Volt,Volt
6.81800e-02,4.00e+00,2.80e+00, 
6.82200e-02,4.00e+00,2.70e+00, 
6.82600e-02,4.00e+00,2.38e+00, 
6.83000e-02,4.00e+00,2.62e+00, 
6.83400e-02,4.00e+00,3.18e+00, 
6.83800e-02,4.00e+00,3.04e+00, 
6.84200e-02,4.00e+00,2.38e+00, 
6.84600e-02,4.00e+00,2.40e+00, 
6.85000e-02,4.40e+00,3.16e+00, 
6.85400e-02,4.40e+00,3.18e+00, 
6.85800e-02,4.40e+00,2.46e+00, 
6.86200e-02,4.40e+00,2.38e+00, 
6.86600e-02,4.80e+00,2.98e+00, 
6.87000e-02,4.40e+00,3.18e+00, 
6.87400e-02,4.80e+00,2.68e+00, 
6.87800e-02,4.80e+00,2.38e+00, 
6.88200e-02,4.80e+00,2.68e+00, 
6.88600e-02,4.80e+00,2.78e+00, 
6.89000e-02,5.20e+00,3.18e+00, 
6.89400e-02,4.80e+00,2.90e+00, 
6.89800e-02,5.20e+00,2.38e+00, 
6.90200e-02,5.20e+00,2.50e+00, 
6.90600e-02,5.20e+00,3.18e+00, 
6.91000e-02,5.20e+00,3.16e+00, 
6.91400e-02,5.60e+00,2.38e+00, 
6.91800e-02,5.60e+00,2.36e+00, 
6.92200e-02,5.20e+00,3.10e+00, 
6.92600e-02,5.60e+00,3.18e+00, 
6.93000e-02,5.60e+00,2.54e+00, 
6.93400e-02,5.60e+00,2.38e+00, 
6.93800e-02,5.60e+00,2.88e+00, 
6.94200e-02,5.60e+00,3.18e+00, 
6.94600e-02,5.60e+00,2.82e+00, 
6.95000e-02,5.60e+00,2.70e+00, 
6.95400e-02,5.60e+00,2.38e+00, 
6.95800e-02,5.60e+00,2.70e+00, 
6.96200e-02,6.00e+00,3.20e+00, 
6.96600e-02,5.60e+00,3.00e+00, 
6.97000e-02,6.00e+00,2.36e+00, 
6.97400e-02,6.00e+00,2.44e+00, 
6.97800e-02,6.00e+00,3.20e+00, 
6.98200e-02,6.00e+00,3.18e+00, 
6.98600e-02,6.40e+00,2.38e+00, 
6.99000e-02,6.40e+00,2.36e+00, 
6.99400e-02,6.40e+00,3.08e+00, 
6.99800e-02,6.40e+00,3.20e+00, 
7.00200e-02,6.40e+00,2.60e+00, 
7.00600e-02,6.40e+00,2.34e+00, 
7.01000e-02,6.80e+00,2.82e+00, 
7.01400e-02,6.40e+00,3.20e+00, 
7.01800e-02,6.80e+00,2.88e+00, 
7.02200e-02,6.80e+00,2.78e+00, 
7.02600e-02,6.80e+00,2.36e+00, 
7.03000e-02,6.80e+00,2.64e+00, 
7.03400e-02,6.80e+00,3.22e+00, 
7.03800e-02,6.80e+00,3.06e+00, 
7.04200e-02,6.80e+00,2.36e+00, 
