,CH1,CH2,
Second,Volt,Volt,
7.10E-02,4.80E+00,2.46E+00, 
7.10E-02,4.80E+00,2.38E+00, 
7.11E-02,5.20E+00,2.24E+00, 
7.11E-02,4.80E+00,2.40E+00, 
7.11E-02,5.20E+00,3.04E+00, 
7.12E-02,5.20E+00,3.10E+00, 
7.12E-02,4.80E+00,3.30E+00, 
7.13E-02,5.20E+00,3.22E+00, 
7.13E-02,5.20E+00,2.62E+00, 
7.13E-02,5.20E+00,2.54E+00, 
7.14E-02,5.20E+00,2.24E+00, 
7.14E-02,5.20E+00,2.28E+00, 
7.15E-02,5.20E+00,2.80E+00, 
7.15E-02,5.20E+00,2.88E+00, 
7.15E-02,5.60E+00,3.32E+00, 
7.16E-02,5.20E+00,3.32E+00, 
7.16E-02,5.60E+00,2.90E+00, 
7.17E-02,5.20E+00,2.82E+00, 
7.17E-02,5.60E+00,2.28E+00, 
7.17E-02,5.60E+00,2.24E+00, 
7.18E-02,5.20E+00,2.46E+00, 
7.18E-02,5.60E+00,2.54E+00, 
7.19E-02,5.20E+00,3.18E+00, 
7.19E-02,5.60E+00,3.22E+00, 
7.19E-02,5.60E+00,3.32E+00, 
7.20E-02,5.60E+00,3.18E+00, 
7.20E-02,5.60E+00,2.54E+00, 
7.21E-02,5.60E+00,2.48E+00, 
7.21E-02,5.60E+00,2.24E+00, 
7.21E-02,5.60E+00,2.26E+00, 
7.22E-02,5.60E+00,2.76E+00, 
7.22E-02,5.60E+00,2.84E+00, 
7.23E-02,5.60E+00,3.32E+00, 
7.23E-02,5.60E+00,3.36E+00, 
7.23E-02,5.60E+00,3.02E+00, 
7.24E-02,5.60E+00,2.96E+00, 
7.24E-02,6.00E+00,2.36E+00, 
7.25E-02,5.60E+00,2.32E+00, 
7.25E-02,6.00E+00,2.24E+00, 
7.25E-02,6.00E+00,2.38E+00, 
7.26E-02,5.60E+00,3.00E+00, 
7.26E-02,6.00E+00,3.06E+00, 
7.27E-02,5.60E+00,3.34E+00, 
7.27E-02,6.00E+00,3.32E+00, 
7.27E-02,6.00E+00,2.80E+00, 
7.28E-02,6.00E+00,2.74E+00, 
7.28E-02,6.40E+00,2.24E+00, 
7.29E-02,6.40E+00,2.22E+00, 
7.29E-02,6.00E+00,2.48E+00, 
7.29E-02,6.00E+00,2.54E+00, 
7.30E-02,6.40E+00,3.18E+00, 
7.30E-02,6.40E+00,3.24E+00, 
7.31E-02,6.00E+00,3.36E+00, 
7.31E-02,6.40E+00,3.22E+00, 
