,CH1,CH3
Second,Volt,Volt
1.72144e-02,-2.88e-01,1.71e-01, 
1.73144e-02,-2.64e-01,1.68e-01, 
1.74144e-02,-2.64e-01,1.68e-01, 
1.75144e-02,-2.40e-01,1.70e-01, 
1.76144e-02,-2.32e-01,1.68e-01, 
1.77144e-02,-2.16e-01,1.73e-01, 
1.78144e-02,-2.08e-01,1.71e-01, 
1.79144e-02,-1.84e-01,1.74e-01, 
1.80144e-02,-1.84e-01,1.76e-01, 
1.81144e-02,-1.60e-01,1.83e-01, 
1.82144e-02,-1.60e-01,1.82e-01, 
1.83144e-02,-1.36e-01,1.87e-01, 
1.84144e-02,-1.36e-01,1.88e-01, 
1.85144e-02,-1.20e-01,1.92e-01, 
1.86144e-02,-1.12e-01,1.92e-01, 
1.87144e-02,-8.80e-02,1.97e-01, 
1.88144e-02,-8.80e-02,1.97e-01, 
1.89144e-02,-6.40e-02,2.00e-01, 
1.90144e-02,-6.40e-02,1.99e-01, 
1.91144e-02,-3.20e-02,1.94e-01, 
1.92144e-02,-3.20e-02,1.97e-01, 
1.93144e-02,-1.60e-02,1.90e-01, 
1.94144e-02,-8.00e-03,1.91e-01, 
1.95144e-02,8.00e-03,1.83e-01, 
1.96144e-02,1.60e-02,1.82e-01, 
1.97144e-02,4.00e-02,1.72e-01, 
1.98144e-02,4.00e-02,1.72e-01, 
1.99144e-02,6.40e-02,1.68e-01, 
2.00144e-02,6.40e-02,1.67e-01, 
2.01144e-02,8.80e-02,1.72e-01, 
2.02144e-02,8.80e-02,1.67e-01, 
2.03144e-02,1.12e-01,1.79e-01, 
2.04144e-02,1.12e-01,1.80e-01, 
2.05144e-02,1.36e-01,1.89e-01, 
2.06144e-02,1.36e-01,1.89e-01, 
2.07144e-02,1.60e-01,1.96e-01, 
2.08144e-02,1.60e-01,1.95e-01, 
2.09144e-02,1.84e-01,1.98e-01, 
2.10144e-02,1.84e-01,2.00e-01, 
2.11144e-02,2.08e-01,1.91e-01, 
2.12144e-02,2.08e-01,1.92e-01, 
2.13144e-02,2.32e-01,1.80e-01, 
2.14144e-02,2.40e-01,1.79e-01, 
2.15144e-02,2.56e-01,1.70e-01, 
2.16144e-02,2.64e-01,1.72e-01, 
2.17144e-02,2.80e-01,1.68e-01, 
2.18144e-02,2.80e-01,1.69e-01, 
2.19144e-02,3.12e-01,1.79e-01, 
2.20144e-02,3.12e-01,1.79e-01, 
2.21144e-02,3.28e-01,1.90e-01, 
2.22144e-02,3.36e-01,1.91e-01, 
2.23144e-02,3.52e-01,1.98e-01, 
2.24144e-02,3.60e-01,1.99e-01, 
2.25144e-02,3.76e-01,1.93e-01, 
2.26144e-02,3.84e-01,1.96e-01, 
2.27144e-02,4.00e-01,1.85e-01, 
2.28144e-02,4.08e-01,1.84e-01, 
2.29144e-02,4.24e-01,1.74e-01, 
2.30144e-02,4.32e-01,1.74e-01, 
2.31144e-02,4.56e-01,1.69e-01, 
2.32144e-02,4.56e-01,1.68e-01, 
2.33144e-02,4.80e-01,1.73e-01, 
